"","iteration time","p_Z","gamma","heterogeneity","n_0","n_1","inter_ratio","inter_strength","alpha_modifier","eta_modifier","method","beta_hat","p_power","p_cover"
"180",2,3,0,1,8000,8000,1,1,0,1,"Weighted mode",0.576027193175965,0,0
"181",2,3,0,1,8000,8000,1,1,0,1,"MR-RAPS",0.569605425395016,0,0
"182",2,3,0,1,8000,8000,1,1,0,1,"Contamination Mixture",0.564174828226174,0,0
"183",2,3,0,1,8000,8000,1,1,0,1,"MR-Robust",0.572853387515524,0.897980431321468,0.923836941668257
"184",2,3,0,1,8000,8000,1,1,0,1,"MR-Lasso",0.568962163222439,0,0
"185",2,3,0,1,8000,8000,1,1,0,1,"Trans-OR",0.993181818163666,NA,NA
"186",2,3,0,1,8000,8000,1,1,0,1,"Trans-IPW",0.989702436483365,NA,NA
"187",2,3,0,1,8000,8000,1,1,0,1,"Trans-AIPW",0.989702436483365,NA,NA
"188",3,3,0,1,8000,8000,1,1,0,1,"IVW",0.59387154888946,0,0
"189",3,3,0,1,8000,8000,1,1,0,1,"Egger",0.600334813194377,0,1.4780251689217e-08
"190",3,3,0,1,8000,8000,1,1,0,1,"Weighted median",0.58929099728046,0,0
"191",3,3,0,1,8000,8000,1,1,0,1,"Weighted mode",0.585901534609047,0,0
"192",3,3,0,1,8000,8000,1,1,0,1,"MR-RAPS",0.59327998571852,0,0
"193",3,3,0,1,8000,8000,1,1,0,1,"Contamination Mixture",0.590557698767302,0,0
"194",3,3,0,1,8000,8000,1,1,0,1,"MR-Robust",0.593679939418923,0,0
"195",3,3,0,1,8000,8000,1,1,0,1,"MR-Lasso",0.59387154888946,0,0
"196",3,3,0,1,8000,8000,1,1,0,1,"Trans-OR",0.986005562332762,NA,NA
"197",3,3,0,1,8000,8000,1,1,0,1,"Trans-IPW",0.980305955856756,NA,NA
"198",3,3,0,1,8000,8000,1,1,0,1,"Trans-AIPW",0.980305955856756,NA,NA
"199",4,3,0,1,8000,8000,1,1,0,1,"IVW",0.548042771635732,0,0
"200",4,3,0,1,8000,8000,1,1,0,1,"Egger",0.636977343198292,6.33359933388533e-08,0.00205107787618886
"201",4,3,0,1,8000,8000,1,1,0,1,"Weighted median",0.548414255398828,0,0
"202",4,3,0,1,8000,8000,1,1,0,1,"Weighted mode",0.564496114150353,0,0
"203",4,3,0,1,8000,8000,1,1,0,1,"MR-RAPS",0.549809534588409,0,0
"204",4,3,0,1,8000,8000,1,1,0,1,"Contamination Mixture",0.550689310759314,0,2.22044604925031e-16
"205",4,3,0,1,8000,8000,1,1,0,1,"MR-Robust",0.547881430680635,0,0
"206",4,3,0,1,8000,8000,1,1,0,1,"MR-Lasso",0.548042771635732,0,0
"207",4,3,0,1,8000,8000,1,1,0,1,"Trans-OR",0.964175318306243,NA,NA
"208",4,3,0,1,8000,8000,1,1,0,1,"Trans-IPW",0.958921324781382,NA,NA
"209",4,3,0,1,8000,8000,1,1,0,1,"Trans-AIPW",0.958921324781382,NA,NA
"210",5,3,0,1,8000,8000,1,1,0,1,"IVW",0.561739166963906,0,0
"211",5,3,0,1,8000,8000,1,1,0,1,"Egger",0.545915741271919,0,7.52731210695856e-14
"212",5,3,0,1,8000,8000,1,1,0,1,"Weighted median",0.566071399329353,0,0
"213",5,3,0,1,8000,8000,1,1,0,1,"Weighted mode",0.569277869774653,0,0
"214",5,3,0,1,8000,8000,1,1,0,1,"MR-RAPS",0.56244204365696,0,0
"215",5,3,0,1,8000,8000,1,1,0,1,"Contamination Mixture",0.55882422681653,0,0
"216",5,3,0,1,8000,8000,1,1,0,1,"MR-Robust",0.561915150277607,0,0
"217",5,3,0,1,8000,8000,1,1,0,1,"MR-Lasso",0.561739166963906,0,0
"218",5,3,0,1,8000,8000,1,1,0,1,"Trans-OR",0.981795458175383,NA,NA
"219",5,3,0,1,8000,8000,1,1,0,1,"Trans-IPW",0.975386252270159,NA,NA
"220",5,3,0,1,8000,8000,1,1,0,1,"Trans-AIPW",0.975386252270159,NA,NA
"221",1,3,0,1,10000,10000,1,1,0,1,"IVW",0.597886538810539,0,0
"222",1,3,0,1,10000,10000,1,1,0,1,"Egger",0.680699797587817,0,2.21289653268286e-10
"223",1,3,0,1,10000,10000,1,1,0,1,"Weighted median",0.6040285923112,0,0
"224",1,3,0,1,10000,10000,1,1,0,1,"Weighted mode",0.605586155631591,0,0
"225",1,3,0,1,10000,10000,1,1,0,1,"MR-RAPS",0.598249859537061,0,0
"226",1,3,0,1,10000,10000,1,1,0,1,"Contamination Mixture",0.6028683902694,0,0
"227",1,3,0,1,10000,10000,1,1,0,1,"MR-Robust",0.598411325579839,0,0
"228",1,3,0,1,10000,10000,1,1,0,1,"MR-Lasso",0.597886538810539,0,0
"229",1,3,0,1,10000,10000,1,1,0,1,"Trans-OR",1.01457699748127,NA,NA
"230",1,3,0,1,10000,10000,1,1,0,1,"Trans-IPW",1.00536529043662,NA,NA
"231",1,3,0,1,10000,10000,1,1,0,1,"Trans-AIPW",1.00536529043662,NA,NA
"232",2,3,0,1,10000,10000,1,1,0,1,"IVW",0.552433518385665,0,0
"233",2,3,0,1,10000,10000,1,1,0,1,"Egger",0.493209746613124,0,0
"234",2,3,0,1,10000,10000,1,1,0,1,"Weighted median",0.548800217688324,0,0
"235",2,3,0,1,10000,10000,1,1,0,1,"Weighted mode",0.54782228172357,0,0
"236",2,3,0,1,10000,10000,1,1,0,1,"MR-RAPS",0.552631757068778,0,0
"237",2,3,0,1,10000,10000,1,1,0,1,"Contamination Mixture",0.549246852694214,0,0
"238",2,3,0,1,10000,10000,1,1,0,1,"MR-Robust",0.552112690673912,0,0
"239",2,3,0,1,10000,10000,1,1,0,1,"MR-Lasso",0.552433518385665,0,0
"240",2,3,0,1,10000,10000,1,1,0,1,"Trans-OR",0.946183498015641,NA,NA
"241",2,3,0,1,10000,10000,1,1,0,1,"Trans-IPW",0.950603149082211,NA,NA
"242",2,3,0,1,10000,10000,1,1,0,1,"Trans-AIPW",0.950603149082211,NA,NA
"243",3,3,0,1,10000,10000,1,1,0,1,"IVW",0.564806276246391,0,0
"244",3,3,0,1,10000,10000,1,1,0,1,"Egger",0.594789853680971,0,1.014293316004e-09
"245",3,3,0,1,10000,10000,1,1,0,1,"Weighted median",0.560645293685794,0,0
"246",3,3,0,1,10000,10000,1,1,0,1,"Weighted mode",0.557426049254503,0,0
"247",3,3,0,1,10000,10000,1,1,0,1,"MR-RAPS",0.564247237739703,0,0
"248",3,3,0,1,10000,10000,1,1,0,1,"Contamination Mixture",0.567615282753936,0,0
"249",3,3,0,1,10000,10000,1,1,0,1,"MR-Robust",0.564432283185623,0,0
"250",3,3,0,1,10000,10000,1,1,0,1,"MR-Lasso",0.564806276246391,0,0
"251",3,3,0,1,10000,10000,1,1,0,1,"Trans-OR",1.02484278143471,NA,NA
"252",3,3,0,1,10000,10000,1,1,0,1,"Trans-IPW",0.999195043100828,NA,NA
"253",3,3,0,1,10000,10000,1,1,0,1,"Trans-AIPW",0.999195043100828,NA,NA
"254",4,3,0,1,10000,10000,1,1,0,1,"IVW",0.600490579176181,0,0
"255",4,3,0,1,10000,10000,1,1,0,1,"Egger",0.706008406971659,0,1.43612610248312e-07
"256",4,3,0,1,10000,10000,1,1,0,1,"Weighted median",0.603736060589676,0,0
"257",4,3,0,1,10000,10000,1,1,0,1,"Weighted mode",0.605775767242131,0,0
"258",4,3,0,1,10000,10000,1,1,0,1,"MR-RAPS",0.600341946942885,0,0
"259",4,3,0,1,10000,10000,1,1,0,1,"Contamination Mixture",0.596215838636728,0,0
"260",4,3,0,1,10000,10000,1,1,0,1,"MR-Robust",0.600751473250522,0,0
"261",4,3,0,1,10000,10000,1,1,0,1,"MR-Lasso",0.600490579176182,0,0
"262",4,3,0,1,10000,10000,1,1,0,1,"Trans-OR",1.00850667041799,NA,NA
"263",4,3,0,1,10000,10000,1,1,0,1,"Trans-IPW",1.00878385080601,NA,NA
"264",4,3,0,1,10000,10000,1,1,0,1,"Trans-AIPW",1.00878385080601,NA,NA
"265",5,3,0,1,10000,10000,1,1,0,1,"IVW",0.585885543818206,0,0
"266",5,3,0,1,10000,10000,1,1,0,1,"Egger",0.696452439958301,0,2.9189142777053e-05
"267",5,3,0,1,10000,10000,1,1,0,1,"Weighted median",0.586466640373048,0,0
"268",5,3,0,1,10000,10000,1,1,0,1,"Weighted mode",0.587678588531093,0,0
"269",5,3,0,1,10000,10000,1,1,0,1,"MR-RAPS",0.585680136928956,0,0
"270",5,3,0,1,10000,10000,1,1,0,1,"Contamination Mixture",0.590792110289407,0,8.88178419700125e-16
"271",5,3,0,1,10000,10000,1,1,0,1,"MR-Robust",0.585926869060337,0,0
"272",5,3,0,1,10000,10000,1,1,0,1,"MR-Lasso",0.585885543818206,0,0
"273",5,3,0,1,10000,10000,1,1,0,1,"Trans-OR",1.01269862356031,NA,NA
"274",5,3,0,1,10000,10000,1,1,0,1,"Trans-IPW",1.0136132093401,NA,NA
"275",5,3,0,1,10000,10000,1,1,0,1,"Trans-AIPW",1.0136132093401,NA,NA
"276",1,3,0,0,12000,12000,1,1,0,1,"IVW",0.987050101882981,0,0.221430354803791
"277",1,3,0,0,12000,12000,1,1,0,1,"Egger",0.911574652785154,0,0.144596523274791
"278",1,3,0,0,12000,12000,1,1,0,1,"Weighted median",0.982573208614439,0,0.267031959446663
"279",1,3,0,0,12000,12000,1,1,0,1,"Weighted mode",0.980368193996235,0,0.275456015585021
"280",1,3,0,0,12000,12000,1,1,0,1,"MR-RAPS",0.986897973100133,0,0.394410366269177
"281",1,3,0,0,12000,12000,1,1,0,1,"Contamination Mixture",0.988028038716728,0,0.703755238827061
"282",1,3,0,0,12000,12000,1,1,0,1,"MR-Robust",0.986769548121313,0,0.0818724630674188
"283",1,3,0,0,12000,12000,1,1,0,1,"MR-Lasso",0.987050101882981,0,0.221430354803783
"284",1,3,0,0,12000,12000,1,1,0,1,"Trans-OR",0.993102666773816,NA,NA
"285",1,3,0,0,12000,12000,1,1,0,1,"Trans-IPW",0.991894239041347,NA,NA
"286",1,3,0,0,12000,12000,1,1,0,1,"Trans-AIPW",0.991894239041347,NA,NA
"287",2,3,0,0,12000,12000,1,1,0,1,"IVW",0.996247387499449,0,0.846119777001739
"288",2,3,0,0,12000,12000,1,1,0,1,"Egger",1.01855307099906,7.49451611881113e-11,0.905601805039287
"289",2,3,0,0,12000,12000,1,1,0,1,"Weighted median",0.993850900180046,0,0.724896555713499
